id,value
activities,2
ad,2
affect,2
agile,15
application,2
approach,4
architecture,3
artifacts,2
aspects,9
assessment,2
attention,2
augmenting,2
awareness,4
behavior,3
behaviors,2
bug,3
case,12
challenges,4
change,4
code,10
coding,2
cognitive,2
collaboration,14
collaborative,14
communication,6
community,3
company,2
conflicts,2
context,3
continuous,2
control,3
cooperation,4
cooperative,4
coordination,5
crowd,2
culture,3
data,3
decision,4
decisions,2
descriptive,2
design,8
designing,2
determinants,2
developer,12
developers,13
developing,3
development,43
differences,3
distance,2
distributed,13
documentation,3
driven,3
dynamics,3
eclipse,2
effectiveness,3
emergence,2
empirical,7
end,2
engineering,28
engineers,6
enhancing,2
enterprise,2
environments,3
evaluation,2
evolution,3
evolving,2
examination,2
experiences,2
exploratory,4
exploring,6
factors,5
feedback,4
forum,2
game,3
geographically,2
global,3
goal,2
hard,2
help,2
hoc,2
human,10
ide,4
identifying,5
impact,6
implementation,2
improving,4
individual,2
industrial,2
initial,3
insights,2
interactions,2
interactive,2
investigation,5
jazz,2
kanban,2
knowledge,6
large,5
leaders,2
learning,3
life,3
live,2
maintenance,2
management,4
methods,3
metrics,3
mining,2
model,3
modeling,5
more,4
motivation,4
multi,2
network,2
newcomers,2
online,2
open,5
organization,5
organizational,7
organizations,3
oriented,3
oss,3
pair,4
participation,2
patterns,2
perceptions,3
performance,4
personalities,3
personality,5
perspective,4
platform,3
post,2
practice,3
practices,10
preliminary,2
principles,2
process,6
product,2
programmers,3
programming,8
project,11
projects,16
qualitative,5
quality,2
quantitative,2
questions,2
real,4
reporting,2
representations,2
requirements,6
research,4
review,5
role,5
roles,4
saros,2
scale,4
scrum,3
search,2
service,2
shared,3
side,2
skills,3
small,2
social,12
socio,2
soft,4
software,114
source,8
stakeholders,3
strategies,4
strategy,2
studies,2
studying,2
support,3
supporting,5
survey,3
sustainable,2
systematic,2
systems,4
t,2
task,2
tasks,2
team,12
teams,13
technical,5
techniques,2
technology,2
test,3
testers,2
testing,3
theoretical,3
theory,3
time,5
tool,3
tools,5
touch,3
toward,4
towards,10
traits,2
trust,3
understanding,7
us,2
usability,6
usage,3
user,11
validation,2
version,3
virtual,3
visual,2
visualization,2
web,2
why,3
work,9
workplace,2
writing,2